index,dataset,layer,K,aggr,layers_number,epochs_number,training_time,train_accuracy,train_F1,test_accuracy,test_F1
0,0,0,,0,0,0,3.494345426559448,0.8984302862419206,0.8899031344850118,0.8487084870848709,0.8322911597145984
1,Cora,GCNConv,,add,1,170,3.082850694656372,0.9002770083102493,0.8956882938281217,0.8468634686346863,0.8318786723430355
2,Cora,GCNConv,,add,1,170,2.994953155517578,0.897045244690674,0.8882874769062096,0.8210332103321033,0.8024131420556483
3,Cora,GCNConv,,add,1,170,2.8144571781158447,0.8896583564173592,0.8832894164200825,0.8302583025830258,0.8055661967864048
4,Cora,GCNConv,,add,1,170,2.449739694595337,0.8928901200369345,0.8854355989611404,0.8099630996309963,0.7747866775813544
5,Cora,GCNConv,,add,1,170,2.434046983718872,0.897045244690674,0.8886565460277147,0.8136531365313653,0.7933177063657215
6,Cora,GCNConv,,add,2,170,3.522306203842163,0.925207756232687,0.9189341211819386,0.8763837638376384,0.8647291414808108
7,Cora,GCNConv,,add,2,170,3.069144487380981,0.922899353647276,0.918019141736499,0.8985239852398524,0.8891843883953455
8,Cora,GCNConv,,add,2,170,2.9639341831207275,0.9247460757156049,0.9170343945332968,0.8892988929889298,0.8750527250408533
9,Cora,GCNConv,,add,2,170,3.116729021072388,0.9196675900277008,0.9140267002535332,0.8948339483394834,0.8897274490782253
10,Cora,GCNConv,,add,2,170,3.728271007537842,0.9182825484764544,0.91328514904642,0.9059040590405903,0.8969619178628923
11,Cora,GCNConv,,add,3,170,4.356663942337036,0.9247460757156049,0.9164659071579316,0.8745387453874539,0.8676573478935827
12,Cora,GCNConv,,add,3,170,4.638617277145386,0.9238227146814404,0.9177205584883862,0.8800738007380073,0.8745558583051967
13,Cora,GCNConv,,add,3,170,4.607027292251587,0.9159741458910434,0.9054639331275242,0.8708487084870848,0.8603470061099934
14,Cora,GCNConv,,add,3,170,4.929502010345459,0.91735918744229,0.909449314284892,0.8745387453874539,0.8600209114177556
15,Cora,GCNConv,,add,3,170,4.447432994842529,0.9215143120960296,0.9102974482733412,0.8819188191881919,0.8735122029213199
16,Cora,SAGEConv,,mean,1,100,3.966514587402344,0.9492151431209604,0.9488382683304436,0.8247232472324724,0.8074509460246799
17,Cora,SAGEConv,,mean,1,100,3.7108640670776367,0.9584487534626038,0.9603070019815264,0.8450184501845018,0.8226302671582574
18,Cora,SAGEConv,,mean,1,100,3.3475465774536133,0.9519852262234534,0.9534722276316864,0.8542435424354243,0.8298731517651656
19,Cora,SAGEConv,,mean,1,100,2.823760271072388,0.953831948291782,0.955128680323873,0.8210332103321033,0.8116753339295947
20,Cora,SAGEConv,,mean,1,100,3.23648452758789,0.9492151431209604,0.9510202663992195,0.8597785977859779,0.8559228838588079
21,Cora,SAGEConv,,mean,2,120,4.92738676071167,0.9699907663896584,0.9698854499842178,0.8856088560885609,0.8680445192026045
22,Cora,SAGEConv,,mean,2,120,3.9911816120147705,0.969067405355494,0.9701955284529364,0.8745387453874539,0.8593608449447329
23,Cora,SAGEConv,,mean,2,120,4.076295614242554,0.9736842105263158,0.9729638218324608,0.8708487084870848,0.8546080972688431
24,Cora,SAGEConv,,mean,2,120,4.807120323181152,0.9750692520775625,0.9746963193604784,0.8985239852398524,0.9000273261305798
25,Cora,SAGEConv,,mean,2,120,4.645825624465942,0.9653739612188366,0.9644774106289932,0.8708487084870848,0.8579883395636249
26,Cora,SAGEConv,,mean,3,130,5.244501829147339,0.9755309325946444,0.9740048645464948,0.8856088560885609,0.8733813149632336
27,Cora,SAGEConv,,mean,3,130,4.648345232009888,0.974145891043398,0.9722210820669012,0.8800738007380073,0.8684754370227893
28,Cora,SAGEConv,,mean,3,130,4.0517897605896,0.9653739612188366,0.9619790239966964,0.8911439114391144,0.8903047001293979
29,Cora,SAGEConv,,mean,3,130,4.550726890563965,0.9676823638042474,0.9624215130848708,0.8929889298892989,0.8789430275796227
30,Cora,SAGEConv,,mean,3,130,4.384599447250366,0.9616805170821792,0.95808139421619,0.8929889298892989,0.887095507695304
31,Cora,GATConv,1.0,mean,1,140,3.0051205158233643,0.8933518005540166,0.8892076114500848,0.8265682656826568,0.8189366029415789
32,Cora,GATConv,1.0,mean,1,140,2.9997875690460205,0.8901200369344414,0.8844297051774589,0.8007380073800738,0.7887429696272914
33,Cora,GATConv,1.0,mean,1,140,3.090696096420288,0.88134810710988,0.8765858200754743,0.8228782287822878,0.8122741565291048
34,Cora,GATConv,1.0,mean,1,140,3.138025522232056,0.894275161588181,0.8901222215352023,0.8118081180811808,0.7994145994769213
