index,dataset,layer,K,aggr,layers_number,epochs_number,training_time,train_accuracy,train_F1,test_accuracy,test_F1
0,0,0,,0,0,0,3.494345426559448,0.8984302862419206,0.8899031344850118,0.8487084870848709,0.8322911597145984
1,Cora,GCNConv,,add,1,170,2.8780033588409424,0.8938134810710988,0.8872673053298669,0.8597785977859779,0.8504191524511834
2,Cora,GCNConv,,add,1,170,2.997965812683105,0.8947368421052632,0.890160077945689,0.8099630996309963,0.7953468938620605
3,Cora,GCNConv,,add,1,170,2.9218621253967285,0.8928901200369345,0.8825659054853267,0.8745387453874539,0.8637528656285705
4,Cora,GCNConv,,add,1,170,2.976090669631958,0.8845798707294552,0.8771485452254024,0.8431734317343174,0.8288723219320902
5,Cora,GCNConv,,add,1,170,2.505741596221924,0.8965835641735919,0.8914625777051235,0.8265682656826568,0.808418972754583
6,Cora,GCNConv,,add,2,170,3.510655641555786,0.9261311172668514,0.9200968233935356,0.8892988929889298,0.8760935187236152
7,Cora,GCNConv,,add,2,170,2.894864320755005,0.9219759926131116,0.9160508534604058,0.8966789667896679,0.8844151656870665
8,Cora,GCNConv,,add,2,170,3.110795497894287,0.9238227146814404,0.9172712264187858,0.9003690036900369,0.893056137873005
9,Cora,GCNConv,,add,2,170,2.942161798477173,0.9284395198522624,0.9235413953945858,0.8745387453874539,0.86188714152577
10,Cora,GCNConv,,add,2,170,3.379756450653076,0.9265927977839336,0.9205213396819796,0.8819188191881919,0.8607596875053434
11,Cora,GCNConv,,add,3,170,3.229754447937012,0.9215143120960296,0.9164586702921588,0.8763837638376384,0.8545362983831871
12,Cora,GCNConv,,add,3,170,3.8592374324798575,0.9219759926131116,0.9159023477677696,0.8856088560885609,0.8647463355255507
13,Cora,GCNConv,,add,3,170,4.084636211395264,0.927516158818098,0.9225618265698852,0.8985239852398524,0.8855457812948424
14,Cora,GCNConv,,add,3,170,4.334198236465454,0.9205909510618652,0.9110927823958742,0.8671586715867159,0.8610022416071709
15,Cora,GCNConv,,add,3,170,4.304071187973023,0.9261311172668514,0.9208833902229612,0.8837638376383764,0.8723355060544415
16,Cora,SAGEConv,,mean,1,100,3.278449535369873,0.9487534626038782,0.9488127779673556,0.8118081180811808,0.8004549655353344
17,Cora,SAGEConv,,mean,1,100,3.572880506515503,0.9529085872576176,0.954317047274215,0.8413284132841329,0.8249889071564152
18,Cora,SAGEConv,,mean,1,100,3.930217027664185,0.9529085872576176,0.954047762636986,0.8523985239852399,0.8243778687558608
19,Cora,SAGEConv,,mean,1,100,3.4434709548950195,0.9519852262234534,0.9534661446281412,0.8154981549815498,0.7957055020683065
20,Cora,SAGEConv,,mean,1,100,3.200623273849488,0.9556786703601108,0.9553824327971612,0.8173431734317343,0.8001280763754057
21,Cora,SAGEConv,,mean,2,120,3.901249408721924,0.9686057248384118,0.9674865459789188,0.8856088560885609,0.8784602440445509
22,Cora,SAGEConv,,mean,2,120,4.805235385894775,0.9699907663896584,0.969296888703946,0.8560885608856088,0.8303094081033373
23,Cora,SAGEConv,,mean,2,120,6.541509628295898,0.974145891043398,0.974249689127537,0.8892988929889298,0.8738226788816218
24,Cora,SAGEConv,,mean,2,120,4.819521903991699,0.9649122807017544,0.9639648946150604,0.8800738007380073,0.8630238444173509
25,Cora,SAGEConv,,mean,2,120,4.771295785903931,0.9709141274238228,0.9691946308537922,0.8800738007380073,0.8723188759522795
26,Cora,SAGEConv,,mean,3,130,6.247915983200073,0.9704524469067404,0.9663729660287828,0.9003690036900369,0.8982084588025074
27,Cora,SAGEConv,,mean,3,130,6.679978132247925,0.9630655586334256,0.96018071244476,0.8874538745387454,0.8650521257721462
28,Cora,SAGEConv,,mean,3,130,6.65167236328125,0.9699907663896584,0.9670559273502928,0.8837638376383764,0.8742109929465551
29,Cora,SAGEConv,,mean,3,130,6.744136095046997,0.9704524469067404,0.96661170864668,0.8911439114391144,0.886144279936569
30,Cora,SAGEConv,,mean,3,130,6.468982696533203,0.9672206832871652,0.962272627315448,0.8579335793357934,0.8470722733938104
31,Cora,GATConv,1.0,mean,1,140,3.52695894241333,0.8896583564173592,0.8827225252549926,0.8154981549815498,0.7980622078135564
32,Cora,GATConv,1.0,mean,1,140,3.3461272716522217,0.8868882733148661,0.8815044207255472,0.8173431734317343,0.8118478116317052
33,Cora,GATConv,1.0,mean,1,140,3.7518372535705566,0.897045244690674,0.8917873999263444,0.8154981549815498,0.820321942557481
34,Cora,GATConv,1.0,mean,1,140,3.5371854305267334,0.894275161588181,0.8917307953145365,0.8560885608856088,0.8379854302615961
35,Cora,GATConv,1.0,mean,1,140,3.662055492401123,0.8928901200369345,0.88531218206101,0.8173431734317343,0.8051289940915067
36,Cora,GATConv,1.0,mean,2,110,3.705478191375733,0.9076638965835642,0.9008224213758428,0.8431734317343174,0.8383716543609122
37,Cora,GATConv,1.0,mean,2,110,3.829342842102051,0.907202216066482,0.8981918346194212,0.8616236162361623,0.843411166589734
38,Cora,GATConv,1.0,mean,2,110,3.5770766735076904,0.8956602031394275,0.8854736543284405,0.8523985239852399,0.8416435638518716
39,Cora,GATConv,1.0,mean,2,110,3.8492937088012695,0.9007386888273314,0.8909474789822595,0.8597785977859779,0.8498199068406979
40,Cora,GATConv,1.0,mean,2,110,3.594379425048828,0.9067405355493998,0.8918154298174679,0.8616236162361623,0.8376660389923452
41,Cora,GATConv,1.0,mean,3,110,4.336089134216309,0.8785780240073869,0.8601893665144481,0.8376383763837638,0.8198990613317736
42,Cora,GATConv,1.0,mean,3,110,4.076572179794312,0.8896583564173592,0.8583583339990409,0.8284132841328413,0.8114028742675126
43,Cora,GATConv,1.0,mean,3,110,4.514564752578735,0.8975069252077562,0.890202962600694,0.8431734317343174,0.8125488320162239
44,Cora,GATConv,1.0,mean,3,110,4.819072008132935,0.9007386888273314,0.8867244258036286,0.8634686346863468,0.855827286794714
45,Cora,GATConv,1.0,mean,3,110,4.116806983947754,0.8984302862419206,0.8847309722696434,0.8819188191881919,0.8794894823223319
46,Cora,SGConv,1.0,,1,150,9.096038341522217,0.8896583564173592,0.8816454893137531,0.8653136531365314,0.8509812768151187
47,Cora,SGConv,1.0,,1,150,8.510637283325195,0.8896583564173592,0.8824904983293945,0.8302583025830258,0.8252844186615153
48,Cora,SGConv,1.0,,1,150,7.560962677001953,0.897045244690674,0.8880888735210378,0.8228782287822878,0.7969574325735519
49,Cora,SGConv,1.0,,1,150,7.36320948600769,0.8882733148661126,0.8815581052244601,0.8597785977859779,0.850324965477568
50,Cora,SGConv,1.0,,1,150,8.326420307159424,0.8979686057248384,0.8895455226750961,0.8376383763837638,0.816942709160023
51,Cora,SGConv,1.0,,2,160,8.012919902801514,0.9192059095106186,0.9097190495834494,0.8800738007380073,0.8712317683295943
52,Cora,SGConv,1.0,,2,160,9.18236207962036,0.9150507848568792,0.905213274836638,0.8819188191881919,0.8704885380433381
53,Cora,SGConv,1.0,,2,160,8.825483083724976,0.9090489381348108,0.9004788849724837,0.9022140221402214,0.8904420386153581
54,Cora,SGConv,1.0,,2,160,8.908544301986694,0.9090489381348108,0.8965710197907822,0.8708487084870848,0.8581765980463919
55,Cora,SGConv,1.0,,2,160,8.207575559616089,0.901662049861496,0.8928825806622201,0.8560885608856088,0.8378575980598134
56,Cora,SGConv,1.0,,3,180,9.987809419631958,0.9108956602031394,0.9006948081433023,0.8708487084870848,0.8636332123707068
57,Cora,SGConv,1.0,,3,180,11.206101894378662,0.8337950138504155,0.7344617858664207,0.7988929889298892,0.6996338234070357
58,Cora,SGConv,1.0,,3,180,11.71347713470459,0.907202216066482,0.8947524603412497,0.8653136531365314,0.8546896010466094
59,Cora,SGConv,1.0,,3,180,10.368898630142212,0.9030470914127424,0.890485835664627,0.8634686346863468,0.8485271257472142
60,Cora,SGConv,1.0,,3,180,11.373120307922363,0.9058171745152356,0.8899253464498977,0.8782287822878229,0.8621332904531561
61,Cora,SSGConv,1.0,,1,150,9.75783348083496,0.894275161588181,0.8857176973187969,0.8173431734317343,0.805304575987688
62,Cora,SSGConv,1.0,,1,150,9.583301067352297,0.8887349953831948,0.8845737466025384,0.8321033210332104,0.8108687280253812
63,Cora,SSGConv,1.0,,1,150,9.512617826461792,0.8956602031394275,0.8875586667219056,0.8284132841328413,0.8055657781665463
64,Cora,SSGConv,1.0,,1,150,10.03736662864685,0.8896583564173592,0.8778289771109782,0.8265682656826568,0.8237360285718159
65,Cora,SSGConv,1.0,,1,150,9.662091255187988,0.8901200369344414,0.8811137353136347,0.8099630996309963,0.7959892329575698
66,Cora,SSGConv,1.0,,2,200,13.316668033599854,0.9316712834718376,0.9252972678381342,0.8782287822878229,0.8644360002469905
67,Cora,SSGConv,1.0,,2,200,12.996938228607178,0.9210526315789472,0.9161272871395272,0.8948339483394834,0.8776570739529218
68,Cora,SSGConv,1.0,,2,200,14.184130430221558,0.9298245614035088,0.9245748335497072,0.8708487084870848,0.8568716467754928
69,Cora,SSGConv,1.0,,2,200,14.081291437149048,0.9307479224376732,0.9255569027439564,0.8800738007380073,0.8586693418603314
70,Cora,SSGConv,1.0,,2,200,12.120404720306396,0.9256694367497692,0.9196885011484502,0.8819188191881919,0.8758929296127766
71,Cora,SSGConv,1.0,,3,200,15.269433975219728,0.9196675900277008,0.9118607216807378,0.8690036900369004,0.8607233985474673
72,Cora,SSGConv,1.0,,3,200,13.45914077758789,0.9233610341643582,0.9178173813783496,0.8892988929889298,0.8827147663540647
73,Cora,SSGConv,1.0,,3,200,14.266039848327637,0.9210526315789472,0.912676191933308,0.8726937269372693,0.8672448917316915
74,Cora,SSGConv,1.0,,3,200,14.74876856803894,0.9265927977839336,0.9207787719838308,0.8911439114391144,0.8863628185808933
75,Cora,SSGConv,1.0,,3,200,15.442541360855104,0.9233610341643582,0.9162847329776872,0.8892988929889298,0.8844331549608384
76,Cora,GMM,,mean,1,160,3.9091796875,0.9704524469067404,0.9714652623397226,0.8468634686346863,0.8264126758683784
77,Cora,GMM,,mean,1,160,3.65141487121582,0.9732225300092336,0.9744237874271192,0.8597785977859779,0.8489741705701375
78,Cora,GMM,,mean,1,160,3.683228015899658,0.9593721144967684,0.9594114340551834,0.8044280442804428,0.7805057187761408
79,Cora,GMM,,mean,1,160,3.696824073791504,0.8998153277931671,0.9002439258069248,0.7158671586715867,0.6753197522915302
80,Cora,GMM,,mean,1,160,4.015897750854492,0.9686057248384118,0.9700773694859116,0.8616236162361623,0.843010728345783
81,Cora,GMM,,mean,2,140,4.246564626693726,0.9921514312096028,0.9922764836249032,0.8874538745387454,0.878030195128313
82,Cora,GMM,,mean,2,140,4.317434549331665,0.994921514312096,0.9945561362183684,0.8708487084870848,0.8498726082140767
83,Cora,GMM,,mean,2,140,4.080676794052124,0.9824561403508772,0.983185539990278,0.8394833948339483,0.8246140336274237
84,Cora,GMM,,mean,2,140,4.192599296569824,0.9644506001846722,0.9624600441880448,0.7878228782287823,0.7676301650676075
85,Cora,GMM,,mean,2,140,4.400274991989136,0.987072945521699,0.9849917933829424,0.8154981549815498,0.7962528339660623
86,Cora,GMM,,mean,3,120,3.648617744445801,0.994459833795014,0.9940524612855726,0.8450184501845018,0.8222974760096783
87,Cora,GMM,,mean,3,120,3.873594522476196,0.9921514312096028,0.991286220348301,0.8837638376383764,0.8749606976523617
88,Cora,GMM,,mean,3,120,3.683990955352783,0.98938134810711,0.9879393246377254,0.8560885608856088,0.8410607557274503
89,Cora,GMM,,mean,3,120,3.869446039199829,0.9916897506925209,0.9912828855002306,0.8856088560885609,0.8821750471547388
90,Cora,GMM,,mean,3,120,4.255270481109619,0.9884579870729456,0.9873840632854088,0.8523985239852399,0.8335689453929059
91,BZR,GCNConv,,add,2,400,8.970074892044067,0.7870370370370371,0.5132275132275133,0.8888888888888888,0.6236448115642746
92,BZR,GCNConv,,add,2,400,9.617944240570068,0.7962962962962963,0.4432989690721649,0.7530864197530864,0.4295774647887324
93,BZR,GCNConv,,add,2,400,10.075146675109863,0.8148148148148148,0.5195254572417203,0.7654320987654321,0.5186111979981233
94,BZR,GCNConv,,add,2,400,10.105551958084106,0.7777777777777778,0.4375,0.8271604938271605,0.4527027027027027
95,BZR,GCNConv,,add,2,400,9.747472286224363,0.7870370370370371,0.4404145077720207,0.7901234567901234,0.4413793103448276
96,BZR,GCNConv,,add,3,400,11.68541145324707,0.845679012345679,0.7222222222222222,0.7901234567901234,0.5979562043795621
97,BZR,GCNConv,,add,3,400,11.213762044906616,0.8395061728395061,0.6974789915966386,0.8395061728395061,0.7111111111111111
98,BZR,GCNConv,,add,3,400,11.146121978759766,0.7932098765432098,0.5794245858761987,0.8148148148148148,0.5896656534954408
99,BZR,GCNConv,,add,3,400,10.94364857673645,0.808641975308642,0.6,0.7283950617283951,0.5250533049040511
100,BZR,GCNConv,,add,3,400,10.969642877578735,0.8425925925925926,0.7266727317839716,0.7530864197530864,0.5418552036199095
