index,dataset,layer,K,aggr,layers_number,epochs_number,training_time,train_accuracy,train_F1,test_accuracy,test_F1
1,Cora,GCNConv,,add,1,170,3.494345426559448,0.8984302862419206,0.8899031344850118,0.8487084870848709,0.8322911597145984
2,Cora,GCNConv,,add,1,170,3.424328565597534,0.8975069252077562,0.886285782911495,0.8302583025830258,0.8096236498400409
3,Cora,GCNConv,,add,1,170,2.6715664863586426,0.8956602031394275,0.8864882787401382,0.8505535055350554,0.8485092009906374
4,Cora,GCNConv,,add,1,170,2.450644254684448,0.8873499538319483,0.8770768220629324,0.8357933579335793,0.8331469252367999
5,Cora,GCNConv,,add,1,170,3.022890090942383,0.8947368421052632,0.8884632388747986,0.8468634686346863,0.8193190922165811
6,Cora,GCNConv,,add,1,170,3.0525972843170166,0.8979686057248384,0.8905409057447642,0.8468634686346863,0.8353662754265668
7,Cora,GCNConv,,add,2,170,3.5783908367156982,0.9284395198522624,0.9232251547664936,0.8856088560885609,0.883829852425389
8,Cora,GCNConv,,add,2,170,3.685083150863648,0.9210526315789472,0.9158910941378268,0.9022140221402214,0.8886319807191229
9,Cora,GCNConv,,add,2,170,3.877370595932007,0.9293628808864266,0.9238026258499188,0.8892988929889298,0.8776743334386014
10,Cora,GCNConv,,add,2,170,3.5792675018310547,0.9215143120960296,0.916045577322454,0.8911439114391144,0.8788144326474383
11,Cora,GCNConv,,add,2,170,3.212249517440796,0.927516158818098,0.921613833172916,0.8690036900369004,0.8562437844197511
12,Cora,GCNConv,,add,3,170,4.163900136947632,0.9256694367497692,0.9209252638059908,0.8634686346863468,0.8404911099380562
13,Cora,GCNConv,,add,3,170,4.163818120956421,0.9247460757156049,0.918116042883934,0.8819188191881919,0.8754654629189128
14,Cora,GCNConv,,add,3,170,4.066230773925781,0.9219759926131116,0.916746118835258,0.9077490774907748,0.8930239261777465
15,Cora,GCNConv,,add,3,170,3.86379647254944,0.9242843951985226,0.9177662330367355,0.8782287822878229,0.8693375011762521
16,Cora,GCNConv,,add,3,170,4.279234170913696,0.922899353647276,0.9153670135466216,0.8800738007380073,0.8702412470904209
17,Cora,SAGEConv,,mean,1,100,3.103576898574829,0.9501385041551248,0.9510361054019456,0.8487084870848709,0.8329908464256965
18,Cora,SAGEConv,,mean,1,100,3.667043685913086,0.9552169898430286,0.957489021554191,0.8597785977859779,0.8531866020743711
19,Cora,SAGEConv,,mean,1,100,3.475508213043213,0.9593721144967684,0.9614210754844156,0.8431734317343174,0.8208231712222868
20,Cora,SAGEConv,,mean,1,100,3.1682586669921875,0.9515235457063712,0.953232459739328,0.8339483394833949,0.8289956102469428
21,Cora,SAGEConv,,mean,1,100,3.1539080142974854,0.9519852262234534,0.953643648816002,0.8321033210332104,0.8253875788176183
22,Cora,SAGEConv,,mean,2,120,4.603169679641724,0.9755309325946444,0.9748231229241732,0.8745387453874539,0.8646530226441508
23,Cora,SAGEConv,,mean,2,120,4.50692892074585,0.9672206832871652,0.9654955176331274,0.8911439114391144,0.8805439553302369
24,Cora,SAGEConv,,mean,2,120,3.954364538192749,0.9755309325946444,0.9745177040837648,0.8892988929889298,0.8847453835285416
25,Cora,SAGEConv,,mean,2,120,3.965048313140869,0.9746075715604802,0.973067578666218,0.8708487084870848,0.8626255504306993
26,Cora,SAGEConv,,mean,2,120,3.8107388019561768,0.9727608494921516,0.9739725371234969,0.8819188191881919,0.8667440710971066
27,Cora,SAGEConv,,mean,3,130,4.6224141120910645,0.9736842105263158,0.9720977811118572,0.8800738007380073,0.8684419778176821
28,Cora,SAGEConv,,mean,3,130,4.503225326538086,0.9556786703601108,0.9512045234717942,0.8726937269372693,0.8668662297945062
29,Cora,SAGEConv,,mean,3,130,4.533521890640259,0.9699907663896584,0.9652351917402971,0.8726937269372693,0.8575284117078132
30,Cora,SAGEConv,,mean,3,130,4.48714804649353,0.9704524469067404,0.96666636180927,0.8690036900369004,0.8539329097639526
31,Cora,SAGEConv,,mean,3,130,5.000833988189697,0.976915974145891,0.974872151289606,0.8929889298892989,0.8822500237133297
32,Cora,GATConv,1.0,mean,1,140,2.838657855987549,0.8961218836565097,0.8946487242949969,0.8247232472324724,0.8158419010964205
33,Cora,GATConv,1.0,mean,1,140,3.1898767948150635,0.9053554939981532,0.9026508465230612,0.8376383763837638,0.8196020966940367
34,Cora,GATConv,1.0,mean,1,140,3.3980822563171387,0.8956602031394275,0.8907162625334663,0.8173431734317343,0.8179290248370111
35,Cora,GATConv,1.0,mean,1,140,3.4945576190948486,0.8868882733148661,0.8814219849942082,0.8542435424354243,0.8301989580193261
36,Cora,GATConv,1.0,mean,1,140,3.641695261001587,0.8915050784856879,0.8858987411398607,0.8376383763837638,0.819307420766284
37,Cora,GATConv,1.0,mean,2,110,3.2361326217651367,0.9215143120960296,0.912667371544097,0.8708487084870848,0.8563460765904309
38,Cora,GATConv,1.0,mean,2,110,3.238426446914673,0.8998153277931671,0.889058709555257,0.8708487084870848,0.8635450744526884
39,Cora,GATConv,1.0,mean,2,110,3.4040322303771973,0.9044321329639888,0.8963216804097888,0.8856088560885609,0.8709586631281405
40,Cora,GATConv,1.0,mean,2,110,2.8196463584899902,0.912742382271468,0.90413003269506,0.8837638376383764,0.8766778435634323
41,Cora,GATConv,1.0,mean,2,110,3.5798795223236084,0.9058171745152356,0.9015109955359784,0.8431734317343174,0.8303499924434161
42,Cora,GATConv,2.0,mean,2,80,2.514659881591797,0.9067405355493998,0.8967721815210349,0.8376383763837638,0.8176816774526721
43,Cora,GATConv,2.0,mean,2,80,2.4603078365325928,0.9113573407202216,0.9020667520350522,0.8892988929889298,0.8815107941171106
44,Cora,GATConv,2.0,mean,2,80,2.596116542816162,0.9076638965835642,0.8967627674696986,0.8523985239852399,0.8321802471937129
45,Cora,GATConv,2.0,mean,2,80,2.4977402687072754,0.9187442289935364,0.9122217193482368,0.8542435424354243,0.8395657860942459
46,Cora,GATConv,2.0,mean,2,80,2.6321041584014893,0.9108956602031394,0.8981069965382835,0.8523985239852399,0.8425297619187259
47,Cora,GATConv,3.0,mean,2,55,1.720853567123413,0.8951985226223453,0.8829033572895035,0.8690036900369004,0.8523020477731678
48,Cora,GATConv,3.0,mean,2,55,1.881269931793213,0.8998153277931671,0.8913852007314754,0.8892988929889298,0.8699671914176469
49,Cora,GATConv,3.0,mean,2,55,1.7467916011810305,0.8905817174515236,0.8786343077022264,0.8394833948339483,0.8254769029793231
50,Cora,GATConv,3.0,mean,2,55,1.9050819873809808,0.894275161588181,0.8874062901808939,0.8819188191881919,0.8650228227536527
51,Cora,GATConv,3.0,mean,2,55,1.683466911315918,0.8896583564173592,0.8770853671989006,0.8726937269372693,0.8572113980082566
52,Cora,GATConv,4.0,mean,2,55,1.7646913528442385,0.901662049861496,0.8900930367696359,0.8708487084870848,0.8586343390683415
53,Cora,GATConv,4.0,mean,2,55,1.866077899932861,0.9044321329639888,0.894047711468823,0.8708487084870848,0.8517759720576356
54,Cora,GATConv,4.0,mean,2,55,1.8352174758911133,0.9053554939981532,0.8966754994619878,0.8874538745387454,0.8725171297901493
55,Cora,GATConv,4.0,mean,2,55,1.8094117641448968,0.9039704524469068,0.8959957642377387,0.8929889298892989,0.885756645628008
56,Cora,GATConv,4.0,mean,2,55,1.9078798294067385,0.9007386888273314,0.8859084662320809,0.8523985239852399,0.8392545870725729
57,Cora,GATConv,5.0,mean,2,55,1.952389478683472,0.9118190212373036,0.9049853101701352,0.8892988929889298,0.8808409681763971
58,Cora,GATConv,5.0,mean,2,55,1.7976160049438477,0.9085872576177284,0.9020899602214704,0.8819188191881919,0.8595226330166089
59,Cora,GATConv,5.0,mean,2,55,1.9451398849487305,0.9104339796860572,0.9036410091889102,0.8874538745387454,0.8802830141513333
60,Cora,GATConv,5.0,mean,2,55,1.83937668800354,0.9053554939981532,0.8948468464005331,0.8892988929889298,0.8806090244901467
61,Cora,GATConv,5.0,mean,2,55,1.6743874549865725,0.9118190212373036,0.9067545350777472,0.8505535055350554,0.8325390302719848
62,Cora,GATConv,6.0,mean,2,50,1.9453022480010984,0.9090489381348108,0.902379657808656,0.8763837638376384,0.8596475751626979
63,Cora,GATConv,6.0,mean,2,50,1.6861224174499512,0.9025854108956602,0.894489284748483,0.8763837638376384,0.8657678814369183
64,Cora,GATConv,6.0,mean,2,50,1.666853666305542,0.9085872576177284,0.8966431596909745,0.8856088560885609,0.8849946267214804
65,Cora,GATConv,6.0,mean,2,50,1.823126077651977,0.9081255771006465,0.9017016344789516,0.8671586715867159,0.8568121526508523
66,Cora,GATConv,6.0,mean,2,50,1.7538831233978271,0.9067405355493998,0.8997362292780869,0.8690036900369004,0.8442657166381238
67,Cora,GATConv,7.0,mean,2,60,1.9793996810913088,0.9270544783010156,0.9219707859623364,0.8597785977859779,0.8477424886060415
68,Cora,GATConv,7.0,mean,2,60,2.117163896560669,0.920129270544783,0.9134737155072348,0.8874538745387454,0.8731922435312736
69,Cora,GATConv,7.0,mean,2,60,2.089275598526001,0.9192059095106186,0.9120643031310738,0.8874538745387454,0.8729837397096512
70,Cora,GATConv,7.0,mean,2,60,2.1723387241363525,0.927516158818098,0.9226630127706408,0.8726937269372693,0.8443022687109106
71,Cora,GATConv,7.0,mean,2,60,2.0957610607147217,0.9168975069252078,0.9085289892594044,0.9003690036900369,0.8941952017097362
72,Cora,GATConv,1.0,mean,3,110,4.069411993026733,0.858264081255771,0.7749864060621084,0.8247232472324724,0.7414481474965504
73,Cora,GATConv,1.0,mean,3,110,4.289391279220581,0.8961218836565097,0.883509156220961,0.8597785977859779,0.8487278398259237
74,Cora,GATConv,1.0,mean,3,110,3.934257030487061,0.8951985226223453,0.8829714971630931,0.8690036900369004,0.8493337830632679
