index,dataset,layer,K,aggr,layers_number,epochs_number,training_time,train_accuracy,train_F1,test_accuracy,test_F1
0,0,0,,0,0,0,3.494345426559448,0.8984302862419206,0.8899031344850118,0.8487084870848709,0.8322911597145984
1,Cora,GCNConv,,add,1,170,3.4244625568389893,0.897045244690674,0.8907209789489541,0.8081180811808119,0.7913756931561844
2,Cora,GCNConv,,add,1,170,3.394296646118164,0.8910433979686058,0.8837168665084999,0.8468634686346863,0.827215157489318
3,Cora,GCNConv,,add,1,170,3.487861394882202,0.8873499538319483,0.8806855908661192,0.8782287822878229,0.8626170713050539
4,Cora,GCNConv,,add,1,170,3.2855052947998047,0.8915050784856879,0.8839704646098532,0.8579335793357934,0.8420464501075491
5,Cora,GCNConv,,add,1,170,3.4083714485168457,0.8933518005540166,0.8874418298164619,0.8782287822878229,0.8570930340533678
6,Cora,GCNConv,,add,2,170,4.9849629402160645,0.9247460757156049,0.9198165260659832,0.8856088560885609,0.8761790312491667
7,Cora,GCNConv,,add,2,170,4.34613299369812,0.9219759926131116,0.9129126824726296,0.8690036900369004,0.8608409945302211
8,Cora,GCNConv,,add,2,170,4.262363910675049,0.9215143120960296,0.9143566124133892,0.8653136531365314,0.8542839588580163
9,Cora,GCNConv,,add,2,170,4.45734429359436,0.925207756232687,0.9198493419851468,0.9095940959409594,0.8926083037586731
10,Cora,GCNConv,,add,2,170,4.529249429702759,0.927516158818098,0.922454682426734,0.8892988929889298,0.8781451315480207
11,Cora,GCNConv,,add,3,170,4.954261779785156,0.9256694367497692,0.9182485425899392,0.8911439114391144,0.878268624730555
12,Cora,GCNConv,,add,3,170,5.175230026245117,0.922437673130194,0.9158989995557096,0.8653136531365314,0.8453040958206531
13,Cora,GCNConv,,add,3,170,5.277704238891602,0.9256694367497692,0.9181875015560892,0.8800738007380073,0.8740673754962954
14,Cora,GCNConv,,add,3,170,5.089057207107544,0.9205909510618652,0.9145597527836644,0.8763837638376384,0.866496547996252
15,Cora,GCNConv,,add,3,170,5.292312145233154,0.9159741458910434,0.905280034571562,0.8690036900369004,0.859906272815612
16,Cora,SAGEConv,,mean,1,100,4.380894899368286,0.9584487534626038,0.9597750925153016,0.8228782287822878,0.7904800863960165
17,Cora,SAGEConv,,mean,1,100,3.812001943588257,0.953831948291782,0.954716153761224,0.8284132841328413,0.8119546115345289
18,Cora,SAGEConv,,mean,1,100,4.247890472412109,0.9566020313942752,0.9581768305712292,0.8413284132841329,0.8248415718109418
19,Cora,SAGEConv,,mean,1,100,3.999354362487793,0.9566020313942752,0.9571689328435832,0.8505535055350554,0.8293801461939504
20,Cora,SAGEConv,,mean,1,100,4.281652450561523,0.9552169898430286,0.9562009916488868,0.8450184501845018,0.8306834351427385
21,Cora,SAGEConv,,mean,2,120,6.278146266937256,0.9699907663896584,0.9686733910576942,0.9003690036900369,0.890403973426883
22,Cora,SAGEConv,,mean,2,120,5.771099090576172,0.9718374884579872,0.9717381926112868,0.8948339483394834,0.8895039023732366
23,Cora,SAGEConv,,mean,2,120,5.368022203445435,0.9676823638042474,0.9677656289253472,0.8800738007380073,0.8665130032406516
24,Cora,SAGEConv,,mean,2,120,5.259326219558716,0.9732225300092336,0.9717509969219896,0.8671586715867159,0.8542333694373578
25,Cora,SAGEConv,,mean,2,120,5.439427375793457,0.969067405355494,0.9688399358258656,0.904059040590406,0.8880637322063251
26,Cora,SAGEConv,,mean,3,130,6.263677597045898,0.9658356417359188,0.962329204602404,0.8837638376383764,0.8641043686209666
27,Cora,SAGEConv,,mean,3,130,7.0167458057403564,0.9658356417359188,0.9644374328712784,0.8892988929889298,0.8811524473599276
