index,dataset,layer,K,aggr,layers_number,epochs_number,training_time,train_accuracy,train_F1,test_accuracy,test_F1
0,0,0,,0,0,0,3.494345426559448,0.8984302862419206,0.8899031344850118,0.8487084870848709,0.8322911597145984
1,Cora,GCNConv,,add,1,170,3.059314012527466,0.8947368421052632,0.8875889946966719,0.8671586715867159,0.8506485067305963
2,Cora,GCNConv,,add,1,170,2.596670389175415,0.9007386888273314,0.8904912229084176,0.8247232472324724,0.81145333308822
3,Cora,GCNConv,,add,1,170,2.609736919403076,0.8928901200369345,0.8874047180652971,0.8357933579335793,0.8215234868440151
4,Cora,GCNConv,,add,1,170,2.467026233673096,0.8965835641735919,0.8909399479034735,0.8505535055350554,0.8393290522035638
5,Cora,GCNConv,,add,1,170,2.769893169403076,0.8910433979686058,0.8821307094854804,0.8616236162361623,0.8551807414993396
6,Cora,GCNConv,,add,2,170,3.126461744308472,0.9247460757156049,0.9181137433107934,0.9003690036900369,0.8949939123362094
7,Cora,GCNConv,,add,2,170,2.9604880809783936,0.9192059095106186,0.9111661364776216,0.8782287822878229,0.8642497072850098
8,Cora,GCNConv,,add,2,170,3.076080322265625,0.925207756232687,0.9173562538538772,0.8745387453874539,0.869063829944693
9,Cora,GCNConv,,add,2,170,3.0143909454345703,0.9261311172668514,0.9198741755310254,0.8837638376383764,0.8647451655304409
10,Cora,GCNConv,,add,2,170,3.2250938415527344,0.922899353647276,0.9148919946195038,0.8800738007380073,0.8771519489778081
11,Cora,GCNConv,,add,3,170,3.1520564556121826,0.9233610341643582,0.9162768610016796,0.8800738007380073,0.8753315879550648
12,Cora,GCNConv,,add,3,170,3.462342977523804,0.922899353647276,0.9149997913695872,0.8708487084870848,0.8597584758008601
13,Cora,GCNConv,,add,3,170,3.53620719909668,0.9187442289935364,0.9127680219522376,0.8948339483394834,0.8698917698816542
14,Cora,GCNConv,,add,3,170,3.444685459136963,0.9192059095106186,0.9125633016810872,0.918819188191882,0.9146157292588948
15,Cora,GCNConv,,add,3,170,3.395235776901245,0.9187442289935364,0.9103864582542766,0.8745387453874539,0.8700628069882655
16,Cora,SAGEConv,,mean,1,100,2.9242637157440186,0.956140350877193,0.9575068239233192,0.8450184501845018,0.8408814089738349
17,Cora,SAGEConv,,mean,1,100,2.814790964126587,0.9570637119113572,0.9573618910984772,0.8487084870848709,0.8406173113713523
18,Cora,SAGEConv,,mean,1,100,2.8745720386505127,0.9515235457063712,0.9513239463149894,0.8468634686346863,0.8273722236969883
19,Cora,SAGEConv,,mean,1,100,2.9290075302124023,0.9552169898430286,0.9567578364458332,0.8487084870848709,0.836799125195381
20,Cora,SAGEConv,,mean,1,100,2.810894727706909,0.9552169898430286,0.956190765574996,0.8210332103321033,0.8030488516367614
21,Cora,SAGEConv,,mean,2,120,3.735371828079224,0.9722991689750692,0.9712946978078564,0.8597785977859779,0.8503650539301436
22,Cora,SAGEConv,,mean,2,120,3.586628198623657,0.9718374884579872,0.9689817955052136,0.8653136531365314,0.8532869334767339
23,Cora,SAGEConv,,mean,2,120,3.750146865844727,0.9709141274238228,0.9705466742311716,0.8856088560885609,0.8630583140190922
24,Cora,SAGEConv,,mean,2,120,3.5739428997039795,0.9653739612188366,0.9640102241714488,0.8856088560885609,0.8665002930997774
25,Cora,SAGEConv,,mean,2,120,4.285960674285889,0.969529085872576,0.9695397905272264,0.8745387453874539,0.8608014121540674
26,Cora,SAGEConv,,mean,3,130,4.723714351654053,0.9658356417359188,0.9633591766470356,0.8856088560885609,0.8726772658755602
27,Cora,SAGEConv,,mean,3,130,5.082100868225098,0.9602954755309326,0.9556128163039492,0.8929889298892989,0.8857144115754352
