index,dataset,layer,K,aggr,layers_number,epochs_number,training_time,train_accuracy,train_F1,test_accuracy,test_F1
0,0,0,,0,0,0,3.494345426559448,0.8984302862419206,0.8899031344850118,0.8487084870848709,0.8322911597145984
1,Cora,GCNConv,,add,1,170,2.776783466339112,0.8961218836565097,0.8916895198739498,0.8265682656826568,0.8090353823931029
2,Cora,GCNConv,,add,1,170,2.7180778980255127,0.8938134810710988,0.8871908760940886,0.8523985239852399,0.8349116163299097
3,Cora,GCNConv,,add,1,170,3.4949967861175537,0.8901200369344414,0.8798701741002798,0.8394833948339483,0.819679486447896
4,Cora,GCNConv,,add,1,170,3.306249618530273,0.8933518005540166,0.8846946581332645,0.8044280442804428,0.7940957257228708
5,Cora,GCNConv,,add,1,170,3.3108723163604736,0.8924284395198523,0.8844846757441613,0.8265682656826568,0.8094900417544828
6,Cora,GCNConv,,add,2,170,3.846780776977539,0.9307479224376732,0.924283928212214,0.8874538745387454,0.8719922436179154
7,Cora,GCNConv,,add,2,170,3.955493450164795,0.9270544783010156,0.9199736895516458,0.8800738007380073,0.869787038951125
8,Cora,GCNConv,,add,2,170,3.687580823898315,0.925207756232687,0.9219290451013024,0.8856088560885609,0.8703504460660699
9,Cora,GCNConv,,add,2,170,3.560096979141236,0.925207756232687,0.91942975127946,0.8708487084870848,0.871350637644632
10,Cora,GCNConv,,add,2,170,4.042464017868042,0.9270544783010156,0.921887736545886,0.8726937269372693,0.8559580835641303
11,Cora,GCNConv,,add,3,170,4.1311657428741455,0.912742382271468,0.9062130103486852,0.8819188191881919,0.8695913326411393
12,Cora,GCNConv,,add,3,170,4.174210071563721,0.9196675900277008,0.91374805220263,0.8911439114391144,0.880281832430808
13,Cora,GCNConv,,add,3,170,4.3599841594696045,0.9261311172668514,0.919217270879841,0.8671586715867159,0.858311913498337
14,Cora,GCNConv,,add,3,170,4.219966173171997,0.922899353647276,0.9147888888439552,0.9022140221402214,0.8948430708213897
15,Cora,GCNConv,,add,3,170,4.116437196731567,0.91735918744229,0.9091249660101371,0.8856088560885609,0.8676942157644468
16,Cora,SAGEConv,,mean,1,100,3.2162585258483887,0.9506001846722067,0.952614232818964,0.8339483394833949,0.8231661532029769
17,Cora,SAGEConv,,mean,1,100,3.063492774963379,0.9524469067405356,0.954682164186526,0.8413284132841329,0.8232216194147182
18,Cora,SAGEConv,,mean,1,100,3.476468563079834,0.9501385041551248,0.9523262953901124,0.8413284132841329,0.8329180003300397
19,Cora,SAGEConv,,mean,1,100,2.792327404022217,0.9579870729455215,0.9586596897222196,0.8357933579335793,0.8230528595852846
20,Cora,SAGEConv,,mean,1,100,2.805275678634644,0.9533702677747,0.955285038267418,0.8302583025830258,0.8177169480948464
21,Cora,SAGEConv,,mean,2,120,4.1640589237213135,0.9672206832871652,0.966781247335088,0.8948339483394834,0.877334495690884
22,Cora,SAGEConv,,mean,2,120,5.349875211715698,0.9750692520775625,0.9746870026420132,0.8597785977859779,0.8411169917871815
23,Cora,SAGEConv,,mean,2,120,5.266449689865112,0.969067405355494,0.9661968295023656,0.8929889298892989,0.8818408829889478
24,Cora,SAGEConv,,mean,2,120,5.127914667129517,0.9676823638042474,0.9655554415754536,0.904059040590406,0.8978528218663404
25,Cora,SAGEConv,,mean,2,120,5.342173337936401,0.9653739612188366,0.9645075817865448,0.9003690036900369,0.89181293650741
26,Cora,SAGEConv,,mean,3,130,5.474297523498535,0.971375807940905,0.9688451530605074,0.8929889298892989,0.8744889062165495
27,Cora,SAGEConv,,mean,3,130,5.61423134803772,0.9699907663896584,0.967772916369624,0.8653136531365314,0.8586970912952941
28,Cora,SAGEConv,,mean,3,130,5.748204946517944,0.969529085872576,0.9653253804045396,0.8708487084870848,0.8533274769135585
29,Cora,SAGEConv,,mean,3,130,5.990930080413818,0.9649122807017544,0.9604982654093608,0.8837638376383764,0.8694935790365443
30,Cora,SAGEConv,,mean,3,130,5.236204624176025,0.9755309325946444,0.9736714119287564,0.8763837638376384,0.857524210096218
31,Cora,GATConv,1.0,mean,1,140,3.5571107864379883,0.8919667590027701,0.8855944909996875,0.8321033210332104,0.8128672900279027
32,Cora,GATConv,1.0,mean,1,140,4.026726007461548,0.9002770083102493,0.8929479948613556,0.8044280442804428,0.8017144543481323
33,Cora,GATConv,1.0,mean,1,140,4.157127380371094,0.8905817174515236,0.8844062752303216,0.8431734317343174,0.8344633974634572
34,Cora,GATConv,1.0,mean,1,140,4.014909982681274,0.897045244690674,0.8945429240916595,0.8191881918819188,0.7908952354960505
35,Cora,GATConv,1.0,mean,1,140,4.15544867515564,0.8915050784856879,0.8864457836719298,0.8302583025830258,0.8214070783663925
36,Cora,GATConv,1.0,mean,2,110,3.705901622772217,0.9007386888273314,0.8891412235961097,0.8542435424354243,0.8450894634637904
37,Cora,GATConv,1.0,mean,2,110,3.818937540054321,0.9104339796860572,0.8981373764698363,0.8782287822878229,0.8586536501730766
38,Cora,GATConv,1.0,mean,2,110,4.059032201766968,0.9053554939981532,0.8970702576245545,0.8579335793357934,0.8427571776943454
39,Cora,GATConv,1.0,mean,2,110,3.917714357376098,0.8998153277931671,0.8900443048273415,0.8357933579335793,0.8345797556519948
40,Cora,GATConv,1.0,mean,2,110,3.954787254333496,0.9067405355493998,0.8951943168754285,0.8468634686346863,0.8217806035622971
41,Cora,GATConv,1.0,mean,3,110,4.701151609420776,0.8998153277931671,0.8855947881154368,0.8450184501845018,0.8281471283232028
42,Cora,GATConv,1.0,mean,3,110,5.00411319732666,0.8988919667590027,0.8839379005514879,0.8763837638376384,0.8596819053820374
43,Cora,GATConv,1.0,mean,3,110,5.098230361938477,0.8905817174515236,0.8707675497770756,0.8763837638376384,0.8624617277510539
44,Cora,GATConv,1.0,mean,3,110,4.943838357925415,0.884118190212373,0.8650627939558506,0.8376383763837638,0.8254754370721983
45,Cora,GATConv,1.0,mean,3,110,4.791594743728638,0.912280701754386,0.9053291673609368,0.8653136531365314,0.8522168027641653
46,Cora,SGConv,1.0,,1,150,7.835546970367432,0.884118190212373,0.8760150466734213,0.8265682656826568,0.8104325644933039
47,Cora,SGConv,1.0,,1,150,8.227046728134155,0.8859649122807017,0.8778290959500729,0.8376383763837638,0.8260741888539237
