index,dataset,layer,K,aggr,layers_number,epochs_number,training_time,train_accuracy,train_F1,test_accuracy,test_F1
0,0,0,,0,0,0,3.494345426559448,0.8984302862419206,0.8899031344850118,0.8487084870848709,0.8322911597145984
1,Cora,GCNConv,,add,1,170,3.170305728912353,0.8975069252077562,0.8943389807637842,0.8579335793357934,0.8244120909563737
2,Cora,GCNConv,,add,1,170,2.413687229156494,0.8956602031394275,0.888112215086707,0.8394833948339483,0.8104021796566065
3,Cora,GCNConv,,add,1,170,2.4639718532562256,0.8975069252077562,0.8903502591997265,0.8247232472324724,0.8030406481453518
4,Cora,GCNConv,,add,1,170,3.201978921890259,0.8979686057248384,0.8866270901009313,0.8523985239852399,0.8325337087896633
5,Cora,GCNConv,,add,1,170,3.47176194190979,0.9007386888273314,0.8962151222084369,0.8579335793357934,0.8320294894107826
6,Cora,GCNConv,,add,2,170,3.701170921325684,0.9256694367497692,0.9190694322089517,0.8708487084870848,0.8596022165146373
7,Cora,GCNConv,,add,2,170,3.574878931045532,0.9270544783010156,0.9187680407826556,0.8948339483394834,0.8906875276466751
8,Cora,GCNConv,,add,2,170,3.4368655681610107,0.9247460757156049,0.9173173517455396,0.8966789667896679,0.8940770604271605
9,Cora,GCNConv,,add,2,170,3.53040623664856,0.9307479224376732,0.9239538799162564,0.8745387453874539,0.8618339243395925
10,Cora,GCNConv,,add,2,170,3.406996726989746,0.9210526315789472,0.915321760746958,0.8892988929889298,0.8754518025776473
11,Cora,GCNConv,,add,3,170,4.126027584075928,0.9192059095106186,0.912404945480861,0.8966789667896679,0.8815055093889221
12,Cora,GCNConv,,add,3,170,4.2282774448394775,0.9242843951985226,0.917575181296738,0.8671586715867159,0.851162719326451
13,Cora,GCNConv,,add,3,170,4.13175630569458,0.917820867959372,0.9112410209241004,0.8856088560885609,0.8712068020657807
14,Cora,GCNConv,,add,3,170,4.0491602420806885,0.9242843951985226,0.9175878189802644,0.8837638376383764,0.8776386886935182
15,Cora,GCNConv,,add,3,170,4.282309293746948,0.922437673130194,0.914087016431408,0.9003690036900369,0.8962996030388847
16,Cora,SAGEConv,,mean,1,100,3.41138243675232,0.9496768236380424,0.949028812151231,0.8321033210332104,0.8161908161434448
17,Cora,SAGEConv,,mean,1,100,3.119580268859864,0.9552169898430286,0.9563707606436028,0.8523985239852399,0.8378316366093631
18,Cora,SAGEConv,,mean,1,100,3.088665008544922,0.953831948291782,0.9549895804752974,0.8560885608856088,0.8482618657546456
19,Cora,SAGEConv,,mean,1,100,2.92825984954834,0.9547553093259464,0.9548029066920892,0.8523985239852399,0.8278799612897539
20,Cora,SAGEConv,,mean,1,100,2.954116106033325,0.9547553093259464,0.9556417492582004,0.8357933579335793,0.8275593492385249
21,Cora,SAGEConv,,mean,2,120,4.535498142242432,0.9681440443213296,0.9675562082096734,0.8948339483394834,0.8745001353775494
22,Cora,SAGEConv,,mean,2,120,3.9812142848968506,0.9649122807017544,0.9641435823436012,0.8948339483394834,0.8755014817611508
23,Cora,SAGEConv,,mean,2,120,3.794233322143554,0.974145891043398,0.9724095802943474,0.8856088560885609,0.876628179868337
24,Cora,SAGEConv,,mean,2,120,3.93359112739563,0.9704524469067404,0.9691422061216352,0.9095940959409594,0.8926842919048316
25,Cora,SAGEConv,,mean,2,120,3.830754041671753,0.9676823638042474,0.9645892382510596,0.8856088560885609,0.8815864296595338
26,Cora,SAGEConv,,mean,3,130,4.846522331237793,0.9787626962142196,0.9777093743602392,0.8892988929889298,0.8733639796345953
27,Cora,SAGEConv,,mean,3,130,4.566848993301392,0.9773776546629732,0.9758426257857632,0.8800738007380073,0.8633452947314132
28,Cora,SAGEConv,,mean,3,130,4.141021728515625,0.958910433979686,0.955868750968467,0.8837638376383764,0.8705796613239146
29,Cora,SAGEConv,,mean,3,130,4.248613595962524,0.9686057248384118,0.9639953327612696,0.8819188191881919,0.8683336154169675
30,Cora,SAGEConv,,mean,3,130,5.027280807495117,0.9750692520775625,0.9720801870855496,0.8874538745387454,0.879835713516928
31,Cora,GATConv,1.0,mean,1,140,3.010176420211792,0.8790397045244691,0.8670490637816387,0.8247232472324724,0.8179747823733194
32,Cora,GATConv,1.0,mean,1,140,2.9694061279296875,0.8947368421052632,0.8936694908973558,0.7822878228782287,0.762413133097172
33,Cora,GATConv,1.0,mean,1,140,3.082343339920044,0.8864265927977839,0.8813199584507402,0.8339483394833949,0.8141510487859875
34,Cora,GATConv,1.0,mean,1,140,3.028947830200196,0.8827331486611265,0.8755604396876883,0.8247232472324724,0.8082804041292464
35,Cora,GATConv,1.0,mean,1,140,3.1150782108306885,0.8896583564173592,0.8837865515805071,0.8044280442804428,0.7956686653354783
36,Cora,GATConv,1.0,mean,2,110,3.327446222305298,0.9048938134810712,0.8964206127965975,0.8376383763837638,0.8292702612925679
37,Cora,GATConv,1.0,mean,2,110,3.2462620735168457,0.9035087719298246,0.8786159148616248,0.8394833948339483,0.8032577239778951
38,Cora,GATConv,1.0,mean,2,110,3.67268443107605,0.8998153277931671,0.8831940660144683,0.8321033210332104,0.8196127119793658
39,Cora,GATConv,1.0,mean,2,110,3.2233290672302246,0.9058171745152356,0.8979875161677658,0.8726937269372693,0.8548511596594236
40,Cora,GATConv,1.0,mean,2,110,3.2811849117279053,0.9039704524469068,0.8931543435221029,0.8653136531365314,0.854866567195474
41,Cora,GATConv,1.0,mean,3,110,4.018424987792969,0.7991689750692521,0.7136478800669037,0.7841328413284133,0.6722259374505536
42,Cora,GATConv,1.0,mean,3,110,3.856822490692138,0.8564173591874423,0.7623753393060125,0.8099630996309963,0.7356872611705996
43,Cora,GATConv,1.0,mean,3,110,3.857901573181152,0.9044321329639888,0.8898046787828149,0.8579335793357934,0.8481517582673218
44,Cora,GATConv,1.0,mean,3,110,3.7730560302734375,0.8476454293628809,0.7697123255500573,0.7896678966789668,0.7149194222774782
45,Cora,GATConv,1.0,mean,3,110,4.023942232131958,0.9012003693444136,0.8912171713927142,0.8616236162361623,0.8435805502817396
46,Cora,SGConv,1.0,,1,150,6.675605058670044,0.8873499538319483,0.8795530492050864,0.8671586715867159,0.8569933369722602
47,Cora,SGConv,1.0,,1,150,6.611021757125855,0.8887349953831948,0.8841484650821304,0.8413284132841329,0.8197318893597779
48,Cora,SGConv,1.0,,1,150,6.698714017868042,0.8836565096952909,0.873401756944057,0.8357933579335793,0.8196350612135498
49,Cora,SGConv,1.0,,1,150,6.689002752304077,0.8887349953831948,0.8817169154149216,0.8450184501845018,0.8202204864145799
