index,dataset,layer,K,aggr,layers_number,epochs_number,training_time,train_accuracy,train_F1,test_accuracy,test_F1
0,0,0,,0,0,0,3.494345426559448,0.8984302862419206,0.8899031344850118,0.8487084870848709,0.8322911597145984
1,Cora,GCNConv,,add,1,170,3.754612922668457,0.8998153277931671,0.8948422969052565,0.8284132841328413,0.8052503188303766
2,Cora,GCNConv,,add,1,170,2.931586265563965,0.8878116343490304,0.8804632434887273,0.8413284132841329,0.8271811397249157
3,Cora,GCNConv,,add,1,170,2.9613428115844727,0.8965835641735919,0.8877132322535736,0.8413284132841329,0.8319997718822172
4,Cora,GCNConv,,add,1,170,3.067484140396118,0.8975069252077562,0.8906205208622343,0.8154981549815498,0.7985873711183621
5,Cora,GCNConv,,add,1,170,3.1323182582855225,0.8910433979686058,0.8841535531776791,0.8007380073800738,0.7988037045149029
6,Cora,GCNConv,,add,2,170,3.768193483352661,0.9219759926131116,0.9172800681307616,0.904059040590406,0.8925602595935758
7,Cora,GCNConv,,add,2,170,4.632735013961792,0.9233610341643582,0.9162453956175706,0.8874538745387454,0.8891233913729666
8,Cora,GCNConv,,add,2,170,3.784355640411377,0.9215143120960296,0.9131071666202089,0.8929889298892989,0.8836144573658296
9,Cora,GCNConv,,add,2,170,3.638031482696533,0.922899353647276,0.9159071282222844,0.9022140221402214,0.8914438605996222
10,Cora,GCNConv,,add,2,170,4.457698583602905,0.9256694367497692,0.9175382759461196,0.8856088560885609,0.8743409912918528
11,Cora,GCNConv,,add,3,170,4.263601541519165,0.9215143120960296,0.9167956887121,0.8911439114391144,0.8711952675057164
12,Cora,GCNConv,,add,3,170,4.769564390182495,0.922899353647276,0.9154668390378238,0.8929889298892989,0.8813386505588622
13,Cora,GCNConv,,add,3,170,4.397765636444092,0.920129270544783,0.9117603419194809,0.8856088560885609,0.8833629782802984
14,Cora,GCNConv,,add,3,170,4.121855974197388,0.920129270544783,0.913326128313157,0.8911439114391144,0.8729318477922403
15,Cora,GCNConv,,add,3,170,4.070889949798584,0.9215143120960296,0.9143735479309444,0.8690036900369004,0.8560445907327414
16,Cora,SAGEConv,,mean,1,100,3.80773401260376,0.9519852262234534,0.9544567993681592,0.8431734317343174,0.8253978213145868
17,Cora,SAGEConv,,mean,1,100,3.536983728408813,0.9542936288088644,0.9547630424459976,0.8247232472324724,0.8055798779972151
18,Cora,SAGEConv,,mean,1,100,3.4273791313171387,0.948291782086796,0.9496399731226668,0.8542435424354243,0.8400691302109946
19,Cora,SAGEConv,,mean,1,100,3.387057304382324,0.9556786703601108,0.9566674291127568,0.8118081180811808,0.8002241679349223
20,Cora,SAGEConv,,mean,1,100,3.690938234329224,0.9529085872576176,0.9530527887556892,0.8616236162361623,0.8540647063032383
21,Cora,SAGEConv,,mean,2,120,5.227439403533936,0.971375807940905,0.9710181621538154,0.8837638376383764,0.8700875106794597
22,Cora,SAGEConv,,mean,2,120,5.061450481414795,0.9787626962142196,0.978816636256754,0.8800738007380073,0.8711604873705509
23,Cora,SAGEConv,,mean,2,120,5.031131029129028,0.9686057248384118,0.9664401140548948,0.8929889298892989,0.8765441965946638
24,Cora,SAGEConv,,mean,2,120,4.982902050018311,0.974145891043398,0.971612411394507,0.8948339483394834,0.8862779656482088
25,Cora,SAGEConv,,mean,2,120,3.989489316940308,0.9658356417359188,0.9648875075380786,0.8819188191881919,0.8654725527331463
26,Cora,SAGEConv,,mean,3,130,4.78990912437439,0.9704524469067404,0.967962187674315,0.8966789667896679,0.8803230368678847
27,Cora,SAGEConv,,mean,3,130,5.036501884460449,0.9704524469067404,0.9666414935613852,0.8929889298892989,0.8861147227417957
28,Cora,SAGEConv,,mean,3,130,4.992598056793213,0.9732225300092336,0.9709210638569248,0.8856088560885609,0.879024684350843
29,Cora,SAGEConv,,mean,3,130,5.127042770385742,0.9704524469067404,0.9677875387543468,0.8966789667896679,0.8909849427966853
30,Cora,SAGEConv,,mean,3,130,5.229609966278076,0.9621421975992612,0.9598359937797952,0.904059040590406,0.9020118539330784
31,Cora,GATConv,1.0,mean,1,140,2.839500904083252,0.8979686057248384,0.8919143258796515,0.8173431734317343,0.7950906338613116
32,Cora,GATConv,1.0,mean,1,140,3.4369285106658936,0.8933518005540166,0.8888123513134581,0.8302583025830258,0.8133869894968243
33,Cora,GATConv,1.0,mean,1,140,3.84908676147461,0.8896583564173592,0.8845935126151815,0.8210332103321033,0.799347605662849
34,Cora,GATConv,1.0,mean,1,140,3.190351724624634,0.8767313019390581,0.8694973996369048,0.8302583025830258,0.7983818517903761
35,Cora,GATConv,1.0,mean,1,140,3.229323625564575,0.8864265927977839,0.8796484741698689,0.8376383763837638,0.8286749734500158
36,Cora,GATConv,1.0,mean,2,110,3.1940457820892334,0.9053554939981532,0.8956582570888602,0.8708487084870848,0.8480687130851693
37,Cora,GATConv,1.0,mean,2,110,3.332515001296997,0.9104339796860572,0.904431314985688,0.8671586715867159,0.8534338419848135
38,Cora,GATConv,1.0,mean,2,110,3.759095907211304,0.909972299168975,0.9044822599504944,0.8302583025830258,0.8247241417614972
39,Cora,GATConv,1.0,mean,2,110,3.352802991867065,0.8947368421052632,0.8800659891467418,0.8560885608856088,0.8389625626018218
40,Cora,GATConv,1.0,mean,2,110,3.923855781555176,0.9053554939981532,0.8957418014737819,0.8505535055350554,0.8382337169310805
41,Cora,GATConv,1.0,mean,3,110,4.076276540756226,0.889196675900277,0.8798585903855816,0.8468634686346863,0.8379217485767864
42,Cora,GATConv,1.0,mean,3,110,4.302004814147949,0.9048938134810712,0.8827647299222429,0.8505535055350554,0.8262563826553703
43,Cora,GATConv,1.0,mean,3,110,4.193009614944458,0.8462603878116344,0.7418512027303423,0.8136531365313653,0.7075983381291567
44,Cora,GATConv,1.0,mean,3,110,4.389571189880371,0.9002770083102493,0.8865600975915938,0.8542435424354243,0.8366401863818292
45,Cora,GATConv,1.0,mean,3,110,3.824513912200928,0.8804247460757156,0.8617068475070292,0.8450184501845018,0.8205179474028957
46,Cora,SGConv,1.0,,1,150,7.224326133728027,0.8799630655586335,0.8719653993353346,0.8321033210332104,0.8151749451755615
