index,dataset,layer,K,aggr,layers_number,epochs_number,training_time,train_accuracy,train_F1,test_accuracy,test_F1
0,0,0,,0,0,0,3.494345426559448,0.8984302862419206,0.8899031344850118,0.8487084870848709,0.8322911597145984
1,Cora,GCNConv,,add,1,170,3.0057854652404785,0.8947368421052632,0.887401540751398,0.8468634686346863,0.840092804832485
2,Cora,GCNConv,,add,1,170,2.846261501312256,0.8928901200369345,0.8852196566714197,0.8523985239852399,0.8324454977786961
3,Cora,GCNConv,,add,1,170,3.024321794509888,0.8905817174515236,0.8819226033481674,0.8745387453874539,0.8628741119327287
4,Cora,GCNConv,,add,1,170,2.6580464839935303,0.8924284395198523,0.8835618021082754,0.8505535055350554,0.8432909473948943
5,Cora,GCNConv,,add,1,170,3.5739729404449463,0.8938134810710988,0.8871069766064065,0.8339483394833949,0.8233133769544543
6,Cora,GCNConv,,add,2,170,3.477913379669189,0.920129270544783,0.9101798648273102,0.8892988929889298,0.8803781934298432
7,Cora,GCNConv,,add,2,170,3.5180540084838867,0.9289012003693444,0.9250989623241442,0.8837638376383764,0.8681201225491691
8,Cora,GCNConv,,add,2,170,4.109864234924316,0.9196675900277008,0.908008486585927,0.8690036900369004,0.8522963848557802
9,Cora,GCNConv,,add,2,170,4.224579811096191,0.9233610341643582,0.916253812997366,0.9022140221402214,0.8845243884518705
10,Cora,GCNConv,,add,2,170,3.4693968296051025,0.9247460757156049,0.9168610344268872,0.8726937269372693,0.8532802858204961
11,Cora,GCNConv,,add,3,170,4.044519901275635,0.9242843951985226,0.919354810155894,0.8819188191881919,0.8747463523094142
12,Cora,GCNConv,,add,3,170,4.00156307220459,0.92797783933518,0.923699496769706,0.8892988929889298,0.8733319994673572
13,Cora,GCNConv,,add,3,170,3.7700374126434326,0.9215143120960296,0.9155329583983584,0.9003690036900369,0.8905920670237547
14,Cora,GCNConv,,add,3,170,4.326871395111084,0.917820867959372,0.9116991489721972,0.8966789667896679,0.8820064148192428
15,Cora,GCNConv,,add,3,170,3.902844190597534,0.9192059095106186,0.9110489549097388,0.8653136531365314,0.8598550529277234
16,Cora,SAGEConv,,mean,1,100,3.1008217334747314,0.9478301015697138,0.949681240271924,0.8357933579335793,0.8239294006047043
17,Cora,SAGEConv,,mean,1,100,3.3370015621185303,0.9533702677747,0.9532578571028208,0.8339483394833949,0.8267652994288405
18,Cora,SAGEConv,,mean,1,100,3.705441236495972,0.9496768236380424,0.9500466062899432,0.8413284132841329,0.830645032435753
19,Cora,SAGEConv,,mean,1,100,3.2981607913970947,0.9552169898430286,0.9551781768282256,0.8468634686346863,0.8260803513840566
20,Cora,SAGEConv,,mean,1,100,3.042682409286499,0.9529085872576176,0.9553516769943334,0.8653136531365314,0.8537374103109662
21,Cora,SAGEConv,,mean,2,120,4.926815986633301,0.9686057248384118,0.9671441383862734,0.9022140221402214,0.886186192458645
22,Cora,SAGEConv,,mean,2,120,4.494049310684204,0.9630655586334256,0.9608425854052696,0.8708487084870848,0.8557145250940772
23,Cora,SAGEConv,,mean,2,120,4.451633930206299,0.9699907663896584,0.968186874345705,0.8800738007380073,0.8661740948503889
24,Cora,SAGEConv,,mean,2,120,4.4230637550354,0.9649122807017544,0.9634004857561678,0.8856088560885609,0.8837666910014275
25,Cora,SAGEConv,,mean,2,120,4.614299058914185,0.9732225300092336,0.9706858037616044,0.9059040590405903,0.8913104444516408
26,Cora,SAGEConv,,mean,3,130,4.831591367721558,0.9732225300092336,0.97184539239999,0.9206642066420664,0.9143748923204348
27,Cora,SAGEConv,,mean,3,130,4.975377559661865,0.9626038781163436,0.9616083486649984,0.9059040590405903,0.8951713501022038
28,Cora,SAGEConv,,mean,3,130,4.816085815429688,0.9630655586334256,0.9571734011758344,0.8800738007380073,0.8694724405331794
29,Cora,SAGEConv,,mean,3,130,4.998589992523193,0.9686057248384118,0.966515809977788,0.9022140221402214,0.8911026679953095
30,Cora,SAGEConv,,mean,3,130,4.945313215255737,0.9815327793167128,0.9789908699865288,0.8763837638376384,0.856235318313157
31,Cora,GATConv,1.0,mean,1,140,2.991999387741089,0.8827331486611265,0.8781107851498199,0.8173431734317343,0.8078161826846905
32,Cora,GATConv,1.0,mean,1,140,2.74815320968628,0.8790397045244691,0.8745175261739367,0.8431734317343174,0.8323881663511327
33,Cora,GATConv,1.0,mean,1,140,2.998830556869507,0.897045244690674,0.8954116039514678,0.8191881918819188,0.791017822249826
34,Cora,GATConv,1.0,mean,1,140,2.903968334197998,0.8993536472760849,0.8948967563894377,0.8376383763837638,0.82984655194619
35,Cora,GATConv,1.0,mean,1,140,3.0039708614349365,0.8901200369344414,0.8821146030707873,0.7859778597785978,0.7728205132788525
36,Cora,GATConv,1.0,mean,2,110,2.824435472488404,0.9067405355493998,0.8953146413694851,0.8413284132841329,0.8254821314431883
37,Cora,GATConv,1.0,mean,2,110,2.7459311485290527,0.9141274238227148,0.907214116934257,0.8616236162361623,0.8520987941915751
38,Cora,GATConv,1.0,mean,2,110,3.065255880355835,0.9141274238227148,0.9065953175750734,0.8597785977859779,0.8484772562378684
39,Cora,GATConv,1.0,mean,2,110,3.0206265449523926,0.9141274238227148,0.9070012079512056,0.8597785977859779,0.8512469937214588
40,Cora,GATConv,1.0,mean,2,110,2.8453574180603027,0.894275161588181,0.8817991452384065,0.8450184501845018,0.8403202293683545
41,Cora,GATConv,1.0,mean,3,110,3.61138129234314,0.8993536472760849,0.887999538104015,0.8468634686346863,0.8300523106207489
42,Cora,GATConv,1.0,mean,3,110,3.514842748641968,0.8988919667590027,0.8852198090318889,0.8468634686346863,0.8351273684503316
43,Cora,GATConv,1.0,mean,3,110,3.318366289138794,0.9062788550323176,0.8956484860049629,0.8763837638376384,0.8510448752731836
44,Cora,GATConv,1.0,mean,3,110,3.8329379558563232,0.8947368421052632,0.8905001982203931,0.8634686346863468,0.8481346980284591
45,Cora,GATConv,1.0,mean,3,110,3.69808840751648,0.8351800554016621,0.752569771167307,0.7915129151291513,0.7138945698633087
46,Cora,SGConv,1.0,,1,150,6.206390857696533,0.8882733148661126,0.8814095811221355,0.8321033210332104,0.8013377856741287
47,Cora,SGConv,1.0,,1,150,7.010472297668457,0.8855032317636196,0.8776512270238549,0.8321033210332104,0.815170838038164
48,Cora,SGConv,1.0,,1,150,6.656754970550537,0.88134810710988,0.8733510890269517,0.8376383763837638,0.8250744696164652
49,Cora,SGConv,1.0,,1,150,7.043566703796387,0.8831948291782087,0.872902246457952,0.8081180811808119,0.7919044504646925
50,Cora,SGConv,1.0,,1,150,7.351281881332397,0.88134810710988,0.8726664857493105,0.8265682656826568,0.8168881609624359
51,Cora,SGConv,1.0,,2,160,7.829217910766602,0.912280701754386,0.9020193608288573,0.8763837638376384,0.8683541381952276
52,Cora,SGConv,1.0,,2,160,7.697727203369141,0.9095106186518928,0.9023980327613128,0.8929889298892989,0.8820142044360347
53,Cora,SGConv,1.0,,2,160,7.284819841384888,0.9155124653739612,0.9082101880902907,0.8837638376383764,0.8751821479988772
54,Cora,SGConv,1.0,,2,160,7.695393085479736,0.9187442289935364,0.91259117765913,0.8690036900369004,0.8567137363301747
55,Cora,SGConv,1.0,,2,160,7.801722049713135,0.9095106186518928,0.8994742841138779,0.8690036900369004,0.854145298268358
