index,dataset,layer,K,aggr,layers_number,epochs_number,training_time,train_accuracy,train_F1,test_accuracy,test_F1
0,0,0,,0,0,0,3.494345426559448,0.8984302862419206,0.8899031344850118,0.8487084870848709,0.8322911597145984
1,Cora,GCNConv,,add,1,170,2.8248000144958496,0.902123730378578,0.8963509577437853,0.8321033210332104,0.8281745490957306
2,Cora,GCNConv,,add,1,170,2.514218330383301,0.8993536472760849,0.8930694283955898,0.8431734317343174,0.8273670636985954
3,Cora,GCNConv,,add,1,170,2.5908732414245605,0.894275161588181,0.8851759380806179,0.8653136531365314,0.8590761859316168
4,Cora,GCNConv,,add,1,170,2.447839736938477,0.8915050784856879,0.883001716039419,0.8782287822878229,0.866329272551679
5,Cora,GCNConv,,add,1,170,2.440252780914306,0.897045244690674,0.8877652199149418,0.8450184501845018,0.8308629131269072
6,Cora,GCNConv,,add,2,170,3.2148382663726807,0.9182825484764544,0.911952901266649,0.9003690036900369,0.8953816665209979
7,Cora,GCNConv,,add,2,170,3.2760493755340576,0.9256694367497692,0.9185889915600776,0.8726937269372693,0.859757036227745
8,Cora,GCNConv,,add,2,170,4.648050308227539,0.9265927977839336,0.9199848166377704,0.8892988929889298,0.8890128879688314
9,Cora,GCNConv,,add,2,170,3.8450114727020255,0.9335180055401662,0.9252901652472956,0.8690036900369004,0.8575464633831161
10,Cora,GCNConv,,add,2,170,3.86584997177124,0.9265927977839336,0.9225715967943928,0.9059040590405903,0.8917863900813668
11,Cora,GCNConv,,add,3,170,4.251730442047119,0.9205909510618652,0.9109109586339474,0.8597785977859779,0.8549064599864865
12,Cora,GCNConv,,add,3,170,4.777751684188843,0.9182825484764544,0.9111886711948192,0.8874538745387454,0.8763135232440913
13,Cora,GCNConv,,add,3,170,4.643201589584351,0.9242843951985226,0.9172067469940544,0.8874538745387454,0.8777612097500247
14,Cora,GCNConv,,add,3,170,4.19626522064209,0.9270544783010156,0.9223315574452212,0.8837638376383764,0.8777509384320529
15,Cora,GCNConv,,add,3,170,4.793983936309815,0.9182825484764544,0.9113043734030178,0.8782287822878229,0.8656609015535112
16,Cora,SAGEConv,,mean,1,100,3.252218246459961,0.9542936288088644,0.9565659801823486,0.8302583025830258,0.7922932081399934
17,Cora,SAGEConv,,mean,1,100,3.737917184829712,0.9496768236380424,0.9509185063812124,0.8265682656826568,0.8068010234896328
18,Cora,SAGEConv,,mean,1,100,3.2376129627227783,0.9496768236380424,0.9498580584652848,0.8468634686346863,0.8336649059623288
19,Cora,SAGEConv,,mean,1,100,3.309317111968994,0.9455216989843028,0.946787730942865,0.8487084870848709,0.8467621905121907
20,Cora,SAGEConv,,mean,1,100,3.024364233016968,0.9487534626038782,0.949567343378254,0.8339483394833949,0.821393049508481
21,Cora,SAGEConv,,mean,2,120,4.162517070770264,0.969529085872576,0.9698446740973774,0.8634686346863468,0.8422846991387598
22,Cora,SAGEConv,,mean,2,120,4.640467166900635,0.9764542936288088,0.9729571399360064,0.8800738007380073,0.8751805318477658
23,Cora,SAGEConv,,mean,2,120,4.702347993850708,0.969067405355494,0.9671010273427112,0.8948339483394834,0.8930588675890102
24,Cora,SAGEConv,,mean,2,120,4.720138549804688,0.9727608494921516,0.9706046402661752,0.8874538745387454,0.8820923763418568
25,Cora,SAGEConv,,mean,2,120,4.503852367401123,0.963527239150508,0.9622203116924736,0.918819188191882,0.9111668902606196
26,Cora,SAGEConv,,mean,3,130,5.271758317947388,0.969067405355494,0.964767846082868,0.8800738007380073,0.8671555993647349
27,Cora,SAGEConv,,mean,3,130,5.144901990890503,0.963527239150508,0.9583737463822196,0.8782287822878229,0.8737438404299693
28,Cora,SAGEConv,,mean,3,130,4.780611753463745,0.9672206832871652,0.9643883066496668,0.9022140221402214,0.8975740468480191
29,Cora,SAGEConv,,mean,3,130,4.611892461776733,0.9607571560480148,0.9603044553867072,0.8837638376383764,0.8602405656375168
30,Cora,SAGEConv,,mean,3,130,5.41799521446228,0.9704524469067404,0.9662647593398562,0.8579335793357934,0.850823947763055
31,Cora,GATConv,1.0,mean,1,140,2.8692355155944824,0.8850415512465374,0.8811546106421402,0.8173431734317343,0.7963467493225329
32,Cora,GATConv,1.0,mean,1,140,3.3493614196777344,0.9007386888273314,0.8975245681171834,0.8062730627306273,0.7938943664940832
33,Cora,GATConv,1.0,mean,1,140,3.5790860652923584,0.8855032317636196,0.8808301912434947,0.8542435424354243,0.8417465909292791
34,Cora,GATConv,1.0,mean,1,140,3.0878052711486816,0.8693444136657433,0.8526920029433435,0.8247232472324724,0.8024848699064321
35,Cora,GATConv,1.0,mean,1,140,3.451158046722412,0.8938134810710988,0.8904763128006972,0.8062730627306273,0.7846661062438988
36,Cora,GATConv,1.0,mean,2,110,3.1345770359039307,0.8961218836565097,0.8871629963857827,0.8616236162361623,0.8514882386549883
37,Cora,GATConv,1.0,mean,2,110,3.314732789993286,0.9039704524469068,0.8952269851189871,0.8690036900369004,0.8599500493624588
38,Cora,GATConv,1.0,mean,2,110,3.609572649002075,0.9030470914127424,0.8893283096557155,0.8634686346863468,0.8462954462831261
