index,dataset,layer,K,aggr,layers_number,epochs_number,training_time,train_accuracy,train_F1,test_accuracy,test_F1
0,0,0,,0,0,0,3.494345426559448,0.8984302862419206,0.8899031344850118,0.8487084870848709,0.8322911597145984
1,Cora,GCNConv,,add,1,170,3.47432541847229,0.8975069252077562,0.8919669590710912,0.8597785977859779,0.8404561044907155
2,Cora,GCNConv,,add,1,170,3.2304887771606445,0.8993536472760849,0.8935313173273342,0.8394833948339483,0.8180660791374272
3,Cora,GCNConv,,add,1,170,3.5378050804138184,0.8951985226223453,0.8880196390640535,0.8597785977859779,0.8438940675865734
4,Cora,GCNConv,,add,1,170,3.519212007522583,0.8928901200369345,0.8850438388701359,0.8597785977859779,0.8470442507058383
5,Cora,GCNConv,,add,1,170,3.540475845336914,0.8947368421052632,0.888083519235501,0.8800738007380073,0.8614564674148252
6,Cora,GCNConv,,add,2,170,4.418735265731812,0.9256694367497692,0.91947246373275,0.8929889298892989,0.8833968092697216
7,Cora,GCNConv,,add,2,170,3.881474733352661,0.9289012003693444,0.924778089950541,0.8782287822878229,0.8518589832646135
8,Cora,GCNConv,,add,2,170,3.994668960571289,0.9293628808864266,0.9236820330552084,0.8819188191881919,0.876780835508107
9,Cora,GCNConv,,add,2,170,4.202017068862915,0.9293628808864266,0.9246324645954784,0.911439114391144,0.8995439741050111
10,Cora,GCNConv,,add,2,170,4.210399150848389,0.9335180055401662,0.927577824247878,0.8690036900369004,0.8583293854420718
11,Cora,GCNConv,,add,3,170,4.546680212020874,0.9168975069252078,0.9080697930861455,0.8874538745387454,0.8865791637830844
12,Cora,GCNConv,,add,3,170,4.618791818618774,0.9312096029547552,0.926183942227521,0.8653136531365314,0.852277494965057
13,Cora,GCNConv,,add,3,170,4.793437957763672,0.9219759926131116,0.9152970449473194,0.8671586715867159,0.8515854631080765
14,Cora,GCNConv,,add,3,170,4.528065204620361,0.9187442289935364,0.9121819758771628,0.8690036900369004,0.8665035797792698
15,Cora,GCNConv,,add,3,170,4.721951007843018,0.925207756232687,0.9177867848745724,0.8708487084870848,0.8577771531665842
16,Cora,SAGEConv,,mean,1,100,3.371792793273926,0.956140350877193,0.9585528996141474,0.8450184501845018,0.8296284403708295
17,Cora,SAGEConv,,mean,1,100,3.2555148601531982,0.9542936288088644,0.9555424109013072,0.8431734317343174,0.8254104999195448
18,Cora,SAGEConv,,mean,1,100,3.419605255126953,0.9519852262234534,0.953148145192601,0.8228782287822878,0.8160262579323337
19,Cora,SAGEConv,,mean,1,100,3.122674465179444,0.9552169898430286,0.957254309420595,0.8007380073800738,0.7854947470665036
20,Cora,SAGEConv,,mean,1,100,3.6751394271850586,0.9556786703601108,0.957783335907086,0.8302583025830258,0.8203822674875046
21,Cora,SAGEConv,,mean,2,120,4.720391273498535,0.9709141274238228,0.971233799430942,0.9003690036900369,0.8888936896100695
22,Cora,SAGEConv,,mean,2,120,4.619812250137329,0.9718374884579872,0.9699816251575586,0.8782287822878229,0.8690731449373341
23,Cora,SAGEConv,,mean,2,120,4.174984931945801,0.971375807940905,0.9710300509863058,0.8763837638376384,0.8684390390176274
24,Cora,SAGEConv,,mean,2,120,4.140151500701904,0.976915974145891,0.9766195551464044,0.8726937269372693,0.8530292035329214
25,Cora,SAGEConv,,mean,2,120,5.102662324905396,0.9718374884579872,0.9690501470730284,0.9003690036900369,0.89889045803998
26,Cora,SAGEConv,,mean,3,130,5.3511059284210205,0.9653739612188366,0.9619650913082708,0.8819188191881919,0.8706148481867954
27,Cora,SAGEConv,,mean,3,130,5.750506162643433,0.963527239150508,0.9586459665247996,0.8837638376383764,0.875545598597219
28,Cora,SAGEConv,,mean,3,130,5.116657257080078,0.9686057248384118,0.9669174027486946,0.8800738007380073,0.8641617888279426
29,Cora,SAGEConv,,mean,3,130,4.714373350143433,0.9732225300092336,0.9704671411606078,0.8874538745387454,0.8820891347982841
30,Cora,SAGEConv,,mean,3,130,4.946456670761108,0.971375807940905,0.9684777508223564,0.8874538745387454,0.8798687408828751
31,Cora,GATConv,1.0,mean,1,140,3.4853298664093018,0.8919667590027701,0.8855822597358062,0.8505535055350554,0.8365636444814241
32,Cora,GATConv,1.0,mean,1,140,3.3812150955200195,0.8804247460757156,0.8746159830937269,0.7896678966789668,0.7803951860432278
33,Cora,GATConv,1.0,mean,1,140,3.465418815612793,0.8859649122807017,0.880879922133314,0.8062730627306273,0.80203155228019
34,Cora,GATConv,1.0,mean,1,140,3.31820011138916,0.8868882733148661,0.8793642316693792,0.8247232472324724,0.8228997315135154
35,Cora,GATConv,1.0,mean,1,140,3.331054449081421,0.894275161588181,0.8885179344704247,0.8136531365313653,0.8016446872367711
36,Cora,GATConv,1.0,mean,2,110,3.585482120513916,0.9067405355493998,0.89782337664764,0.8579335793357934,0.845329461798977
37,Cora,GATConv,1.0,mean,2,110,3.571601152420044,0.9085872576177284,0.9013332802974552,0.8505535055350554,0.8302970697632611
38,Cora,GATConv,1.0,mean,2,110,3.607510805130005,0.8951985226223453,0.8820354768428599,0.8837638376383764,0.8543705054769445
39,Cora,GATConv,1.0,mean,2,110,3.60099196434021,0.9090489381348108,0.8980483368144355,0.8468634686346863,0.822451450893627
40,Cora,GATConv,1.0,mean,2,110,3.706940889358521,0.8642659279778393,0.8469418466191257,0.8321033210332104,0.8012192475922324
41,Cora,GATConv,1.0,mean,3,110,4.499691963195801,0.8448753462603878,0.7736413706865245,0.8302583025830258,0.761781883354258
42,Cora,GATConv,1.0,mean,3,110,4.554641246795654,0.9058171745152356,0.8975419561418757,0.8745387453874539,0.859723559788074
43,Cora,GATConv,1.0,mean,3,110,4.591123104095459,0.884118190212373,0.8676413829822737,0.8800738007380073,0.8744812032916426
44,Cora,GATConv,1.0,mean,3,110,4.068220376968384,0.84533702677747,0.819980432654632,0.7822878228782287,0.7491251182751081
45,Cora,GATConv,1.0,mean,3,110,4.250015258789063,0.907202216066482,0.9000307438101061,0.8542435424354243,0.8421242791707348
46,Cora,SGConv,1.0,,1,150,6.819456338882446,0.8975069252077562,0.889785277044143,0.8210332103321033,0.7949797139263308
47,Cora,SGConv,1.0,,1,150,6.115707874298096,0.8836565096952909,0.8745648432256781,0.8413284132841329,0.814539138398052
48,Cora,SGConv,1.0,,1,150,6.151282787322998,0.8951985226223453,0.8890767404098474,0.8634686346863468,0.8385417672553915
49,Cora,SGConv,1.0,,1,150,6.898900508880615,0.8924284395198523,0.8852305348040724,0.8523985239852399,0.8443537807621274
50,Cora,SGConv,1.0,,1,150,6.543107748031616,0.8845798707294552,0.8754649743212788,0.8339483394833949,0.8212029185596282
51,Cora,SGConv,1.0,,2,160,8.112339496612549,0.9039704524469068,0.9010795045831098,0.8837638376383764,0.8661411638305229
52,Cora,SGConv,1.0,,2,160,7.933882474899292,0.8979686057248384,0.8856735137754715,0.8966789667896679,0.8717709813942873
53,Cora,SGConv,1.0,,2,160,8.082136154174805,0.9095106186518928,0.9008006703524332,0.8708487084870848,0.8410992338685518
54,Cora,SGConv,1.0,,2,160,7.633305788040161,0.9155124653739612,0.9096472881360964,0.8745387453874539,0.8603830209077111
55,Cora,SGConv,1.0,,2,160,6.958967208862305,0.9035087719298246,0.8907099365209065,0.8505535055350554,0.8187499063635844
56,Cora,SGConv,1.0,,3,180,9.384564399719238,0.8924284395198523,0.8718832056809804,0.8616236162361623,0.8195351724148411
57,Cora,SGConv,1.0,,3,180,9.17159128189087,0.9081255771006465,0.8983282470816214,0.8690036900369004,0.8378002584074394
58,Cora,SGConv,1.0,,3,180,8.61890172958374,0.91735918744229,0.911621810472282,0.8856088560885609,0.8683446286721539
59,Cora,SGConv,1.0,,3,180,9.749003648757936,0.9104339796860572,0.8989303778777168,0.8523985239852399,0.8347124056941156
60,Cora,SGConv,1.0,,3,180,8.999946117401123,0.9048938134810712,0.8838685704812941,0.8468634686346863,0.8325284713065502
61,Cora,SSGConv,1.0,,1,150,8.662993431091309,0.8859649122807017,0.8765837328515129,0.8339483394833949,0.8354662324027577
62,Cora,SSGConv,1.0,,1,150,7.488536357879639,0.8882733148661126,0.8782132307981761,0.8136531365313653,0.8069906585832433
63,Cora,SSGConv,1.0,,1,150,7.867025852203369,0.8905817174515236,0.8825482665849746,0.8413284132841329,0.8131579085216477
64,Cora,SSGConv,1.0,,1,150,8.092851400375366,0.8915050784856879,0.8850410151094004,0.8468634686346863,0.8266670451974409
65,Cora,SSGConv,1.0,,1,150,7.219972133636475,0.8998153277931671,0.8928216961301059,0.8523985239852399,0.822054928608606
66,Cora,SSGConv,1.0,,2,200,11.487953901290894,0.9256694367497692,0.9193440019733832,0.8929889298892989,0.8836171005676595
67,Cora,SSGConv,1.0,,2,200,12.528778076171877,0.9298245614035088,0.9219473930876788,0.8929889298892989,0.8725962129418517
68,Cora,SSGConv,1.0,,2,200,11.971400022506714,0.9247460757156049,0.9175615654157158,0.8966789667896679,0.8791033467003148
69,Cora,SSGConv,1.0,,2,200,11.422054767608644,0.92797783933518,0.9223123136630328,0.9059040590405903,0.8958065043351395
70,Cora,SSGConv,1.0,,2,200,11.54470682144165,0.9298245614035088,0.925843873534516,0.904059040590406,0.885037501785345
71,Cora,SSGConv,1.0,,3,200,12.813881874084473,0.9164358264081256,0.908722266903527,0.8726937269372693,0.8590297648812203
72,Cora,SSGConv,1.0,,3,200,10.998157024383543,0.927516158818098,0.9211562495910196,0.8634686346863468,0.8503082220222853
73,Cora,SSGConv,1.0,,3,200,10.77538013458252,0.9136657433056324,0.8981228380571592,0.8671586715867159,0.8492045599613592
74,Cora,SSGConv,1.0,,3,200,11.17436170578003,0.9141274238227148,0.9017374370761048,0.8911439114391144,0.8826203952572048
75,Cora,SSGConv,1.0,,3,200,10.90379548072815,0.9256694367497692,0.9176725004074128,0.8745387453874539,0.8661441571566851
76,Cora,GMM,,mean,1,160,3.660481214523315,0.9653739612188366,0.9673800468576982,0.8062730627306273,0.798570874917171
77,Cora,GMM,,mean,1,160,2.972651720046997,0.9570637119113572,0.9580346079825748,0.8154981549815498,0.7909419375365074
