index,dataset,layer,K,aggr,layers_number,epochs_number,training_time,train_accuracy,train_F1,test_accuracy,test_F1
0,0,0,,0,0,0,3.494345426559448,0.8984302862419206,0.8899031344850118,0.8487084870848709,0.8322911597145984
1,Cora,GCNConv,,add,1,170,3.708397388458252,0.8919667590027701,0.8833249151587522,0.8579335793357934,0.8369080053589301
2,Cora,GCNConv,,add,1,170,3.5302734375,0.897045244690674,0.8893806730655994,0.8505535055350554,0.8285267236671788
3,Cora,GCNConv,,add,1,170,3.745991945266724,0.8887349953831948,0.8812466951381308,0.8339483394833949,0.8366982744803806
4,Cora,GCNConv,,add,1,170,3.520714282989502,0.8975069252077562,0.8896677495903186,0.8321033210332104,0.8201574021524021
5,Cora,GCNConv,,add,1,170,3.291572332382202,0.8979686057248384,0.8941640435098321,0.8542435424354243,0.8495178756786521
6,Cora,GCNConv,,add,2,170,4.734772682189941,0.9256694367497692,0.9187429398009214,0.8911439114391144,0.8812181732245559
7,Cora,GCNConv,,add,2,170,4.894987344741821,0.927516158818098,0.9219416028363592,0.8911439114391144,0.8834266598462025
8,Cora,GCNConv,,add,2,170,4.36120343208313,0.9242843951985226,0.9187125683554715,0.8745387453874539,0.8610076219615366
9,Cora,GCNConv,,add,2,170,4.526662826538086,0.9238227146814404,0.9172313597005104,0.8929889298892989,0.8783455023087245
10,Cora,GCNConv,,add,2,170,4.353175163269043,0.9298245614035088,0.9224121893149226,0.8653136531365314,0.8501249274664494
11,Cora,GCNConv,,add,3,170,4.964184045791626,0.920129270544783,0.9135137460039336,0.8874538745387454,0.8762523895141555
12,Cora,GCNConv,,add,3,170,5.154715538024902,0.9242843951985226,0.9176358997339964,0.8560885608856088,0.8361094289723445
13,Cora,GCNConv,,add,3,170,5.169579982757568,0.922899353647276,0.9156220924505584,0.8874538745387454,0.8770505149143245
14,Cora,GCNConv,,add,3,170,4.881207704544067,0.9155124653739612,0.9076491178426096,0.8929889298892989,0.8765494947774266
15,Cora,GCNConv,,add,3,170,5.021462678909302,0.9215143120960296,0.9118817731350586,0.8892988929889298,0.8878965127374723
16,Cora,SAGEConv,,mean,1,100,4.3004539012908936,0.9506001846722067,0.9529951553357476,0.8708487084870848,0.8639992744278571
17,Cora,SAGEConv,,mean,1,100,3.567343711853028,0.9496768236380424,0.9499276339498206,0.8394833948339483,0.8188928620149117
18,Cora,SAGEConv,,mean,1,100,3.5799527168273926,0.9529085872576176,0.9545361151391252,0.8247232472324724,0.8143363322340209
19,Cora,SAGEConv,,mean,1,100,3.1864731311798096,0.9575253924284396,0.9574414132423742,0.8597785977859779,0.8438894422465637
