index,dataset,layer,K,aggr,layers_number,epochs_number,training_time,train_accuracy,train_F1,test_accuracy,test_F1
0,0,0,,0,0,0,3.494345426559448,0.8984302862419206,0.8899031344850118,0.8487084870848709,0.8322911597145984
1,Cora,GCNConv,,add,1,170,3.540610313415528,0.894275161588181,0.8860880243531258,0.8339483394833949,0.8276714133646367
2,Cora,GCNConv,,add,1,170,3.841200113296509,0.8873499538319483,0.8802406696942144,0.8394833948339483,0.8309791079354458
3,Cora,GCNConv,,add,1,170,3.9092063903808594,0.9025854108956602,0.8954159359760718,0.8284132841328413,0.8260486935472137
4,Cora,GCNConv,,add,1,170,4.085071086883545,0.8905817174515236,0.8807382014674953,0.8413284132841329,0.8342776546706839
5,Cora,GCNConv,,add,1,170,3.990853548049927,0.8975069252077562,0.889645942918304,0.8616236162361623,0.8449666268906348
6,Cora,GCNConv,,add,2,170,4.808969259262085,0.9293628808864266,0.924661839219383,0.8800738007380073,0.8699404096205833
7,Cora,GCNConv,,add,2,170,4.265074491500855,0.9270544783010156,0.9238212327217804,0.9095940959409594,0.8988764971356699
8,Cora,GCNConv,,add,2,170,4.953711986541748,0.9256694367497692,0.9173800253734812,0.8837638376383764,0.8630927692937483
9,Cora,GCNConv,,add,2,170,4.579412698745728,0.9312096029547552,0.92687028257576,0.8892988929889298,0.8782168373899831
10,Cora,GCNConv,,add,2,170,4.961665153503418,0.92797783933518,0.921385451567636,0.9022140221402214,0.8987275208004556
11,Cora,GCNConv,,add,3,170,5.120177507400513,0.922437673130194,0.9184627478137164,0.8634686346863468,0.8451975664462344
12,Cora,GCNConv,,add,3,170,5.171896457672119,0.9215143120960296,0.9168641606702804,0.8708487084870848,0.8567067399464868
13,Cora,GCNConv,,add,3,170,5.386599063873291,0.922899353647276,0.9169219712807202,0.8782287822878229,0.8603439470338196
14,Cora,GCNConv,,add,3,170,5.451129674911499,0.9168975069252078,0.9086853663257034,0.8837638376383764,0.8740720127496724
15,Cora,GCNConv,,add,3,170,5.638357639312744,0.9265927977839336,0.9196510375722592,0.8671586715867159,0.8601917783461209
16,Cora,SAGEConv,,mean,1,100,4.206456184387207,0.9542936288088644,0.9552832239581106,0.8044280442804428,0.787187998167643
17,Cora,SAGEConv,,mean,1,100,4.22350001335144,0.953831948291782,0.9549681375488562,0.8302583025830258,0.8059761277282933
18,Cora,SAGEConv,,mean,1,100,4.404906749725342,0.9542936288088644,0.9548691865767426,0.8154981549815498,0.8000157035645153
19,Cora,SAGEConv,,mean,1,100,3.6095221042633057,0.9552169898430286,0.9562674026395764,0.8413284132841329,0.817616111003587
20,Cora,SAGEConv,,mean,1,100,3.487249851226806,0.9529085872576176,0.9537262907541176,0.8468634686346863,0.8324998173764335
21,Cora,SAGEConv,,mean,2,120,5.025811433792114,0.9672206832871652,0.9648011911716996,0.8892988929889298,0.8770760232271984
22,Cora,SAGEConv,,mean,2,120,5.6697070598602295,0.974145891043398,0.9728472447731812,0.8856088560885609,0.8772818323286857
23,Cora,SAGEConv,,mean,2,120,4.528614521026611,0.9759926131117268,0.9758696551415772,0.8800738007380073,0.8701376654881167
24,Cora,SAGEConv,,mean,2,120,5.351928949356079,0.9704524469067404,0.9693562378673533,0.9095940959409594,0.8995395812943652
25,Cora,SAGEConv,,mean,2,120,5.118256092071533,0.9709141274238228,0.968933060190274,0.8911439114391144,0.8827084050263004
26,Cora,SAGEConv,,mean,3,130,6.404825925827026,0.9579870729455215,0.954540709571825,0.8929889298892989,0.8804348531436508
27,Cora,SAGEConv,,mean,3,130,5.178254842758179,0.96398891966759,0.960485651604942,0.8690036900369004,0.8541582795048701
28,Cora,SAGEConv,,mean,3,130,5.349197864532471,0.9718374884579872,0.9692813178758568,0.9095940959409594,0.8939325879201376
29,Cora,SAGEConv,,mean,3,130,5.325930118560791,0.969067405355494,0.9679971547902064,0.8763837638376384,0.858953912638385
30,Cora,SAGEConv,,mean,3,130,5.196455717086792,0.9662973222530008,0.9652049983863566,0.8948339483394834,0.8831622761663953
31,Cora,GATConv,1.0,mean,1,140,3.584704637527466,0.8896583564173592,0.8817854299621667,0.8173431734317343,0.8127966711986573
32,Cora,GATConv,1.0,mean,1,140,3.4704556465148926,0.8984302862419206,0.8941759037789389,0.8302583025830258,0.810723934027748
33,Cora,GATConv,1.0,mean,1,140,4.035998344421387,0.8933518005540166,0.8879408168554132,0.8099630996309963,0.7940333606925717
34,Cora,GATConv,1.0,mean,1,140,3.922505617141724,0.8665743305632503,0.8490426771544949,0.8247232472324724,0.7945915022337239
35,Cora,GATConv,1.0,mean,1,140,4.028270483016968,0.901662049861496,0.8987648529429935,0.8081180811808119,0.8039091564151825
36,Cora,GATConv,1.0,mean,2,110,3.826837778091431,0.8993536472760849,0.8874575424713179,0.8542435424354243,0.8383645789093135
37,Cora,GATConv,1.0,mean,2,110,4.469855785369873,0.9118190212373036,0.8982872656817236,0.8413284132841329,0.8311233328618298
38,Cora,GATConv,1.0,mean,2,110,3.928795576095581,0.9035087719298246,0.8936871704806636,0.8966789667896679,0.8808439245025266
39,Cora,GATConv,1.0,mean,2,110,3.8971452713012695,0.9118190212373036,0.9016860821832108,0.8579335793357934,0.8540325562292617
40,Cora,GATConv,1.0,mean,2,110,4.140547275543213,0.9030470914127424,0.8918157830199875,0.8634686346863468,0.8463776464715439
